DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
133,133.58,100.05,11.98,0.048900,3.7911,-0.6544,10.64
136,133.08,99.68,12.57,0.048800,3.8139,-0.6501,11.36
137,133.36,99.89,12.24,0.049000,3.6769,-0.6487,10.96
138,134.92,101.06,11.86,0.049300,3.6848,-0.6473,10.49
139,135.18,101.25,11.98,0.049400,3.6928,-0.6459,10.64
140,135.01,101.12,11.56,0.049500,3.7008,-0.6444,10.12
143,135.09,101.18,11.68,0.049800,3.7247,-0.6401,10.27
144,135.27,101.32,11.52,0.050000,3.6604,-0.6386,10.07
145,135.11,101.20,11.62,0.050200,3.596,-0.6372,10.19
146,136.28,102.08,11.09,0.050600,3.5732,-0.6357,9.54
147,136.63,102.34,10.75,0.050500,3.5504,-0.6342,9.12
150,136.84,102.50,11.09,0.050900,3.5087,-0.6298,9.54
151,136.41,102.17,11.73,0.050900,3.4992,-0.6258,10.33
152,136.59,102.31,11.34,0.050900,3.4897,-0.6219,9.85
153,136.81,102.47,10.90,0.051000,3.4803,-0.6179,9.31
154,136.84,102.50,10.63,0.050900,3.4708,-0.6139,8.97
157,137.47,102.97,11.08,0.051200,3.4424,-0.602,9.53
158,137.88,103.27,10.78,0.051300,3.433,-0.598,9.16
159,138.35,103.63,10.66,0.051200,3.4235,-0.5799,9.01
160,138.78,103.95,10.56,0.051200,3.414,-0.5618,8.89
161,137.91,103.30,10.80,0.051100,3.4046,-0.5876,9.18
164,137.81,103.22,11.20,0.051000,3.5268,-0.6471,9.68
165,137.79,103.21,11.10,0.050800,3.5015,-0.639,9.55
166,136.86,102.51,11.51,0.050700,3.4763,-0.631,10.06
167,136.78,102.45,11.42,0.050700,3.451,-0.623,9.95
168,136.54,102.27,11.16,0.050900,3.4258,-0.615,9.63
171,138.08,103.42,11.16,0.050900,3.3501,-0.6284,9.63
172,138.61,103.82,11.09,0.050800,3.3248,-0.627,9.54
173,138.91,104.05,10.75,0.051000,3.2996,-0.6256,9.12
174,138.18,103.50,11.01,0.050900,3.2743,-0.6242,9.44
175,138.24,103.54,10.79,0.051000,3.2489,-0.6228,9.17
178,138.58,103.80,10.86,0.050900,3.1724,-0.629,9.26
179,139.62,104.58,10.50,0.050900,3.1868,-0.6313,8.82
180,140.02,104.88,10.31,0.050900,3.2011,-0.6335,8.58
181,140.38,105.15,10.16,0.050900,3.2155,-0.6357,8.40
182,140.42,105.18,10.05,0.050900,3.2299,-0.638,8.26
185,140.50,105.24,9.97,0.050800,3.273,-0.6447,8.16
186,140.64,105.34,9.90,0.050700,3.2874,-0.647,8.08
187,140.92,105.55,10.14,0.050500,3.3018,-0.6492,8.37
189,140.35,105.12,10.73,0.050400,3.3305,-0.6508,9.10
192,138.42,103.68,12.30,0.050500,3.3736,-0.6533,11.03
193,139.02,104.13,11.62,0.050400,3.388,-0.6541,10.19
194,140.47,105.21,10.83,0.050400,3.4024,-0.6549,9.22
195,140.53,105.26,10.91,0.050300,3.4167,-0.6557,9.32
196,140.22,105.03,11.66,0.050300,3.4311,-0.6565,10.24
199,141.29,105.83,11.23,0.050100,3.4742,-0.6569,9.71
200,141.90,106.29,11.27,0.049900,3.4886,-0.6567,9.76
201,141.78,106.20,11.33,0.049900,3.503,-0.6564,9.84
202,141.16,105.73,12.67,0.049800,3.5174,-0.6562,11.48
203,141.42,105.93,12.07,0.049700,3.5317,-0.656,10.75
206,141.83,106.23,10.71,0.049300,3.4988,-0.6554,9.07
207,141.72,106.15,10.65,0.049300,3.437,-0.6552,9.00
208,141.87,106.26,10.18,0.049400,3.6671,-0.6549,8.42
209,143.12,107.20,9.97,0.049600,3.7682,-0.6547,8.16
210,142.34,107.21,10.05,0.049100,3.7137,-0.6545,8.26
213,141.95,106.92,10.60,0.049600,3.9524,-0.6511,8.94
214,142.22,107.12,10.30,0.049600,3.9212,-0.6527,8.57
215,142.14,107.06,10.26,0.049600,3.89,-0.6544,8.52
216,141.62,106.67,10.53,0.049700,3.8588,-0.6561,8.85
217,140.75,106.01,11.36,0.049900,3.8276,-0.6577,9.87
221,141.58,106.64,11.26,0.049900,3.7029,-0.6644,9.75
222,142.51,107.34,10.64,0.049700,3.6717,-0.666,8.99
