DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
1293,111.25,88.94,21.12,0.000500,2.9809,-0.6462,21.88
1294,110.38,88.24,22.46,0.000600,2.9777,-0.6447,23.53
1295,111.01,88.74,21.25,0.000600,2.9746,-0.6433,22.04
1298,110.84,88.61,22.10,0.000400,2.965,-0.6505,23.08
1299,109.61,87.63,23.69,0.000300,2.9619,-0.6548,25.04
1300,110.02,87.95,22.66,0.000300,2.9587,-0.6591,23.77
1301,110.64,88.45,22.32,0.000200,2.9555,-0.6634,23.35
1302,111.11,88.82,21.59,0.000300,2.9524,-0.6677,22.46
1305,111.87,89.43,21.15,0.000400,3.1607,-0.6805,21.91
1306,111.35,89.02,21.49,0.000500,3.1504,-0.6848,22.33
1307,111.52,89.15,20.54,0.000400,3.1402,-0.684,21.16
1308,110.18,88.08,22.51,0.000400,3.1299,-0.6831,23.59
1309,110.21,88.58,21.68,0.000500,3.1197,-0.6823,22.57
1312,111.33,89.48,20.49,0.000800,3.1608,-0.6798,21.10
1313,111.73,89.80,19.54,0.000800,3.1745,-0.6789,19.93
1314,111.95,89.98,19.71,0.000700,3.1883,-0.6781,20.14
1315,112.48,90.40,19.47,0.000500,3.202,-0.6772,19.85
1319,112.72,90.60,19.93,0.001100,3.2568,-0.6716,20.41
1320,112.56,90.47,20.01,0.001000,3.2705,-0.6685,20.51
1321,112.52,90.44,19.96,0.000500,3.2842,-0.6654,20.45
1322,111.44,89.57,21.68,0.000600,3.2979,-0.6623,22.57
1326,113.33,91.09,20.04,0.000800,3.3528,-0.6498,20.55
1327,113.63,91.33,19.35,0.000700,3.3665,-0.6467,19.70
1328,113.71,91.39,19.16,0.000600,3.3802,-0.6436,19.47
1329,114.19,91.78,19.06,0.000500,3.3939,-0.6405,19.34
1330,114.57,92.08,18.13,0.000500,3.4076,-0.6374,18.20
1333,114.73,92.21,17.55,0.000400,3.4488,-0.6281,17.49
1334,113.66,91.35,18.25,0.000500,3.4625,-0.6326,18.35
1335,114.62,92.12,17.85,0.000600,3.6736,-0.6371,17.86
1336,114.93,92.37,17.63,0.000500,3.7487,-0.6416,17.58
1337,113.64,91.34,17.91,0.000600,3.5475,-0.6462,17.93
1341,115.06,92.48,17.58,0.000600,3.3415,-0.6643,17.52
1342,113.89,91.54,18.68,0.000500,3.3172,-0.6688,18.88
1343,111.70,89.78,22.27,0.000600,3.2929,-0.6733,23.29
1344,109.21,87.78,27.31,0.000600,3.2686,-0.6779,29.49
1347,109.77,88.23,25.41,0.000600,3.2102,-0.6914,27.15
1348,109.31,87.86,24.55,0.000700,3.2004,-0.6882,26.10
1349,109.83,88.27,23.14,0.000800,3.1906,-0.685,24.36
1350,108.57,87.26,23.73,0.000800,3.1807,-0.6817,25.09
1351,107.39,86.31,24.62,0.000800,3.1709,-0.6785,26.18
1354,109.06,87.66,22.59,0.001000,3.1414,-0.6688,23.69
1355,110.38,88.72,21.48,0.001000,3.1316,-0.6708,22.32
1356,109.83,88.27,21.60,0.001000,3.1218,-0.6729,22.47
1357,106.44,85.55,26.08,0.000900,3.1119,-0.675,27.98
1358,106.66,85.73,26.11,0.001000,3.1021,-0.677,28.02
1361,105.89,85.11,26.51,0.001200,3.118,-0.6868,28.51
1362,107.22,86.18,26.00,0.001200,3.1706,-0.6925,27.88
1363,107.01,86.01,25.40,0.001100,3.2233,-0.6982,27.14
1364,108.13,86.91,23.96,0.001100,3.2364,-0.6958,25.37
1365,108.04,86.84,22.73,0.001000,3.2494,-0.6933,23.86
1369,109.74,88.20,22.25,0.001000,3.3016,-0.6835,23.27
1370,110.26,88.62,21.72,0.001000,3.3147,-0.6811,22.62
1371,110.91,89.14,20.63,0.001000,3.3277,-0.6786,21.27
1372,111.14,89.33,20.02,0.001100,3.3423,-0.6762,20.52
1375,111.16,89.34,19.94,0.001100,3.386,-0.6571,20.43
1376,109.81,88.26,21.37,0.001200,3.4006,-0.6586,22.19
1377,110.82,89.07,20.27,0.001200,3.4151,-0.66,20.83
1378,110.67,88.95,20.10,0.001300,3.4297,-0.6615,20.62
1379,110.74,89.01,19.50,0.001300,3.4443,-0.663,19.89
1382,111.89,89.93,19.26,0.001300,3.488,-0.6674,19.59
1383,112.20,90.18,19.06,0.001400,3.5026,-0.6689,19.34
1384,112.30,90.26,18.83,0.001400,3.4864,-0.6704,19.06
1385,112.64,90.53,18.72,0.001400,3.4702,-0.6707,18.93
1386,114.25,91.83,17.42,0.001500,3.4541,-0.671,17.33
1389,114.27,91.84,17.79,0.001600,3.4056,-0.672,17.78
1390,114.46,92.00,17.92,0.001600,3.4674,-0.6724,17.94
1391,114.97,92.41,18.57,0.001500,3.5291,-0.6727,18.74
1392,115.45,92.79,18.06,0.001600,3.5909,-0.673,18.11
1393,115.46,92.80,17.58,0.001500,3.6527,-0.6734,17.52
1396,115.49,92.82,18.00,0.001700,3.3294,-0.674,18.04
1397,116.41,93.56,17.69,0.001600,3.3404,-0.6739,17.66
1398,117.10,94.12,16.91,0.001500,3.3515,-0.6739,16.70
1399,117.04,94.07,16.62,0.001600,3.3626,-0.6739,16.34
1400,115.97,93.59,16.97,0.001600,3.3736,-0.6738,16.77
1403,116.59,94.09,16.87,0.001500,3.4068,-0.6737,16.65
1404,117.41,94.76,16.35,0.001400,3.4179,-0.6737,16.01
1405,116.84,94.30,17.55,0.001400,3.429,-0.6736,17.49
1406,116.65,94.14,18.40,0.001400,3.4401,-0.6736,18.53
1407,116.58,94.09,17.77,0.001400,3.4511,-0.6735,17.76
1410,117.32,94.68,17.59,0.001500,3.4843,-0.6841,17.54
1411,117.40,94.75,17.13,0.001600,3.5659,-0.6823,16.97
1412,117.00,94.42,17.59,0.001600,3.5798,-0.6805,17.54
1413,117.80,95.07,17.47,0.001600,3.5938,-0.6787,17.39
1417,118.76,95.84,17.02,0.001800,3.6495,-0.6714,16.83
1418,119.04,96.07,16.23,0.001700,3.6634,-0.6696,15.86
1419,118.36,95.52,16.62,0.001700,3.6773,-0.6677,16.34
1420,118.77,95.85,16.48,0.001700,3.6912,-0.6659,16.17
1421,119.55,96.48,16.14,0.001600,3.7051,-0.6659,15.75
1424,119.74,96.64,15.58,0.001600,3.7469,-0.6657,15.06
1425,119.83,96.71,16.20,0.001600,3.7608,-0.6657,15.83
1426,121.19,97.81,15.59,0.001600,3.7748,-0.6656,15.08
1427,121.29,97.89,15.89,0.001600,3.7887,-0.6656,15.44
1428,119.36,96.33,18.36,0.001600,3.8026,-0.6655,18.48
1431,119.81,96.69,17.34,0.001600,3.7914,-0.656,17.23
1432,120.88,97.56,15.73,0.001600,3.7523,-0.6513,15.25
1433,120.66,97.38,16.32,0.001500,3.7133,-0.6466,15.97
1434,121.02,97.67,16.47,0.001600,3.7062,-0.6418,16.16
1435,121.81,98.31,16.62,0.001600,3.6992,-0.6371,16.34
1438,121.35,97.94,17.47,0.001600,3.6781,-0.6337,17.39
1439,118.48,95.62,22.81,0.001600,3.6711,-0.6398,23.96
1440,119.38,96.35,21.08,0.001600,3.6641,-0.6459,21.83
1441,120.86,97.54,18.44,0.001700,3.6571,-0.652,18.58
1442,118.81,95.89,22.05,0.001600,3.65,-0.6581,23.02
1445,120.35,97.13,20.19,0.001700,3.621,-0.6764,20.73
1446,117.52,94.84,23.84,0.001600,3.6101,-0.6824,25.22
1447,116.82,94.28,24.91,0.001500,3.5991,-0.6885,26.54
1448,112.94,91.15,32.80,0.001100,3.5881,-0.6995,36.24
1449,111.26,89.79,40.95,0.001300,3.5771,-0.7104,46.27
1452,116.16,93.75,28.84,0.001600,3.5442,-0.7526,31.37
1453,115.83,93.48,28.32,0.001600,3.5332,-0.7581,30.73
1454,117.45,94.79,25.52,0.001600,3.5222,-0.7637,27.29
1455,115.99,93.61,26.68,0.001600,3.5112,-0.7692,28.72
1456,113.89,91.91,31.24,0.001600,3.5002,-0.7748,34.33
1459,113.95,91.96,30.84,0.001600,3.4673,-0.7915,33.83
1460,112.40,90.71,33.55,0.001700,3.4563,-0.797,37.17
1461,111.76,90.20,35.32,0.001700,3.3535,-0.8026,39.34
1462,107.54,86.79,45.79,0.001700,3.5535,-0.8081,52.22
1463,109.11,88.06,40.10,0.001700,3.4249,-0.8042,45.22
1466,107.71,86.93,38.32,0.001700,3.199,-0.7922,43.03
1467,107.82,87.02,34.61,0.001700,3.2301,-0.7882,38.47
1468,107.17,86.49,35.02,0.001700,3.2613,-0.7842,38.97
1469,110.76,89.39,29.68,0.001700,3.2924,-0.7802,32.41
1470,109.37,88.27,32.07,0.001600,3.3236,-0.7762,35.35
1474,107.53,86.78,35.54,0.001600,3.3678,-0.7639,39.61
1475,110.33,89.04,30.17,0.001600,3.3722,-0.7612,33.01
1476,110.71,89.35,29.46,0.001400,3.3765,-0.7584,32.14
1477,106.82,86.21,35.48,0.001400,3.3809,-0.761,39.54
1480,105.49,85.14,36.57,0.001200,3.394,-0.7689,40.88
1481,106.62,86.05,33.70,0.001200,3.3983,-0.7748,37.35
1482,106.05,85.59,33.73,0.001000,3.4027,-0.7807,37.39
1483,109.15,88.09,30.57,0.001000,3.407,-0.7777,33.50
1484,109.68,88.52,28.79,0.000800,3.4114,-0.7748,31.31
1487,109.51,88.38,28.58,0.000700,3.4245,-0.7659,31.05
1488,112.00,90.39,25.87,0.000900,3.4288,-0.7629,27.72
1489,111.96,90.36,25.92,0.001000,3.4332,-0.7599,27.78
1490,112.14,90.50,25.05,0.000900,3.4376,-0.757,26.71
1491,111.73,90.60,23.95,0.001100,3.4419,-0.754,25.36
1494,111.41,90.34,24.88,0.001200,3.549,-0.7631,26.50
1495,109.57,88.85,27.05,0.001300,3.5733,-0.7661,29.17
1496,109.23,88.57,26.91,0.001300,3.5977,-0.7692,29.00
1497,107.42,87.11,29.74,0.001300,3.622,-0.7722,32.48
1498,107.87,87.47,28.53,0.001300,3.6464,-0.7752,30.99
1501,107.53,87.19,29.00,0.001700,3.606,-0.7811,31.57
1502,104.21,84.50,34.13,0.001500,3.5168,-0.783,37.88
1503,103.22,83.70,34.54,0.001800,3.4277,-0.785,38.38
1504,102.76,83.33,32.86,0.001700,3.3386,-0.7799,36.32
1505,102.20,82.87,30.12,0.001700,3.2494,-0.7748,32.95
1509,102.87,83.42,29.65,0.001700,3.3698,-0.7544,32.37
1510,106.11,86.04,26.84,0.001600,3.386,-0.7493,28.91
1511,107.16,86.89,25.71,0.001500,3.4021,-0.7442,27.52
1512,107.96,87.54,24.98,0.001600,3.4183,-0.7391,26.63
1515,108.03,87.60,24.43,0.001600,3.4668,-0.7316,25.95
1516,109.66,88.92,24.56,0.001500,3.4829,-0.7343,26.11
1517,109.65,88.91,24.89,0.001500,3.4991,-0.737,26.51
1518,109.68,88.94,25.14,0.001500,3.5153,-0.7397,26.82
1519,106.66,86.49,26.25,0.001500,3.5314,-0.7423,28.19
1522,107.29,87.00,25.97,0.001700,3.4779,-0.7504,27.84
1523,108.48,87.96,23.93,0.001600,3.4675,-0.7481,25.33
1524,107.07,86.82,25.64,0.001600,3.457,-0.7459,27.44
1525,109.46,88.76,24.63,0.001600,3.4465,-0.7436,26.19
1526,110.41,89.53,23.47,0.001600,3.436,-0.7414,24.77
1529,111.56,90.46,22.73,0.001600,3.4903,-0.7347,23.86
1530,111.55,90.45,23.19,0.001500,3.5656,-0.7324,24.42
1531,110.83,89.87,24.25,0.001500,3.6408,-0.7302,25.73
1532,110.29,89.43,24.13,0.001500,3.716,-0.728,25.58
1533,110.27,89.42,23.50,0.001500,3.73,-0.7258,24.81
1536,112.76,91.44,22.01,0.001600,3.772,-0.7191,22.97
1537,112.22,91.00,22.63,0.001600,3.7859,-0.7169,23.73
1538,112.97,91.61,22.21,0.001600,3.7999,-0.7147,23.22
1539,112.85,91.51,22.10,0.001500,3.8139,-0.7125,23.08
1540,112.39,91.14,21.74,0.001500,3.793,-0.7207,22.64
1543,112.99,91.62,22.14,0.001500,3.7304,-0.7452,23.13
1544,112.38,91.13,22.37,0.001500,3.7095,-0.7533,23.42
1545,109.30,88.63,25.39,0.001500,3.6886,-0.7615,27.13
1546,108.63,88.09,25.73,0.001600,3.6677,-0.759,27.55
1547,108.31,87.83,26.24,0.001500,3.6468,-0.7564,28.18
1550,108.26,87.79,26.10,0.001600,3.5842,-0.7521,28.00
1551,109.59,88.86,24.33,0.001700,3.5633,-0.7528,25.83
1552,109.79,89.03,24.59,0.001600,3.5424,-0.7535,26.15
1553,107.88,87.48,26.44,0.001600,3.5215,-0.7542,28.42
1554,107.53,87.19,25.49,0.001500,3.5007,-0.755,27.25
1557,107.12,86.86,25.66,0.001600,3.438,-0.7571,27.46
1558,105.53,85.57,27.46,0.001600,3.4171,-0.7578,29.68
1559,105.94,85.91,26.70,0.001600,3.3962,-0.7585,28.74
1560,105.23,85.33,27.37,0.001600,3.1947,-0.7593,29.57
1561,106.86,86.65,24.45,0.001500,3.3421,-0.76,25.97
1564,105.31,85.39,27.21,0.001400,3.1796,-0.762,29.37
1565,105.31,85.39,26.05,0.001400,3.1254,-0.7627,27.94
1566,108.46,87.95,23.89,0.001300,3.2967,-0.7633,25.28
1567,109.47,88.77,23.19,0.001400,3.468,-0.764,24.42
1568,110.89,89.92,21.31,0.001400,3.4699,-0.7647,22.11
1572,109.64,88.91,23.80,0.001400,3.4775,-0.7692,25.17
1573,110.41,89.53,23.25,0.001400,3.4794,-0.7705,24.50
1574,110.92,89.94,22.81,0.001400,3.4813,-0.7718,23.96
1575,111.48,90.40,21.99,0.001400,3.4832,-0.773,22.95
1578,112.72,91.40,21.21,0.001500,3.4888,-0.7561,21.99
1579,112.65,91.35,21.56,0.001500,3.4907,-0.7543,22.42
1580,113.08,91.69,22.10,0.001500,3.4926,-0.7524,23.08
1581,113.05,91.67,21.72,0.001600,3.4945,-0.7506,22.62
1582,112.49,91.70,22.01,0.001600,3.4964,-0.7487,22.97
1585,114.21,93.11,21.50,0.001700,3.5021,-0.7431,22.35
1586,113.98,92.92,22.35,0.001700,3.504,-0.7413,23.39
1587,113.42,92.46,22.51,0.001600,3.5059,-0.7394,23.59
1588,112.50,91.71,23.87,0.001600,3.5077,-0.7376,25.26
1589,114.82,93.60,21.71,0.001500,3.5096,-0.7357,22.60
1592,114.27,93.16,22.54,0.001600,3.5643,-0.7257,23.62
1593,114.67,93.48,22.60,0.001600,3.5826,-0.7216,23.70
1594,114.47,93.32,23.25,0.001600,3.6008,-0.7175,24.50
1595,114.13,93.04,23.70,0.001600,3.6072,-0.7134,25.05
1596,114.61,93.43,22.50,0.001600,3.6136,-0.7092,23.58
1599,113.75,92.73,23.53,0.001300,3.6328,-0.7058,24.84
1600,116.04,94.60,21.76,0.001200,3.6393,-0.7008,22.66
1601,116.03,94.59,21.49,0.001300,3.6457,-0.6958,22.33
1602,115.89,94.48,21.56,0.001300,3.6521,-0.6909,22.42
1603,116.54,95.01,20.71,0.001200,3.6585,-0.6859,21.37
1606,116.65,95.10,18.96,0.001200,3.6777,-0.671,19.22
1607,117.01,95.39,18.93,0.001300,3.6841,-0.6661,19.18
1608,117.92,96.13,19.07,0.001300,3.6905,-0.6732,19.36
1609,117.46,95.76,19.88,0.001400,3.6887,-0.6995,20.35
1610,117.70,95.95,19.03,0.001400,3.6869,-0.6987,19.31
1613,118.28,96.43,19.09,0.001500,3.6815,-0.6964,19.38
1614,116.73,95.16,20.63,0.001400,3.6797,-0.6957,21.27
1615,117.87,96.09,19.79,0.001400,3.6779,-0.6949,20.24
1616,118.13,96.30,19.27,0.001300,3.6761,-0.6941,19.60
1617,118.35,96.48,18.78,0.001300,3.6743,-0.6934,19.00
1620,118.70,96.77,19.85,0.001400,3.6688,-0.6792,20.32
1621,118.72,96.78,20.22,0.001400,3.667,-0.6745,20.77
1622,118.38,96.51,20.71,0.001400,3.6652,-0.6698,21.37
1623,118.40,96.52,20.88,0.001300,3.6634,-0.6651,21.58
1624,118.49,96.60,21.20,0.001200,3.6616,-0.6638,21.98
1627,118.53,96.63,21.83,0.001300,3.6562,-0.6597,22.75
1628,119.47,97.40,21.57,0.001300,3.6544,-0.6583,22.43
1629,119.95,97.79,19.56,0.001300,3.6525,-0.657,19.96
1630,122.26,99.67,18.52,0.001300,3.6507,-0.6556,18.68
1631,122.72,100.04,18.26,0.001300,3.6489,-0.6282,18.36
1634,122.49,99.86,18.29,0.001300,3.6435,-0.6205,18.40
1635,121.61,99.14,19.08,0.001300,3.6417,-0.6304,19.37
1636,122.10,99.54,18.47,0.001300,3.6399,-0.6352,18.62
1637,121.64,99.16,18.64,0.001300,3.75,-0.64,18.83
1638,120.20,97.99,20.61,0.001300,3.8601,-0.6448,21.25
1641,120.03,97.85,20.20,0.001400,3.9945,-0.6592,20.75
1642,118.16,96.33,22.58,0.001500,3.9287,-0.664,23.67
1643,118.22,96.38,21.76,0.001400,3.7836,-0.6686,22.66
1644,119.96,97.79,18.75,0.001500,3.7781,-0.6732,18.96
1645,120.29,98.06,18.04,0.001400,3.7727,-0.6778,18.09
1648,120.19,97.98,18.37,0.001500,3.7562,-0.6798,18.50
1649,118.45,96.56,20.63,0.001500,3.7507,-0.6804,21.27
1650,120.20,97.99,19.56,0.001600,3.7453,-0.6811,19.96
1652,118.80,96.85,22.22,0.001600,3.7343,-0.6824,23.23
1655,119.16,97.14,21.53,0.001800,3.7179,-0.6918,22.38
1656,118.49,96.60,23.54,0.001700,3.7124,-0.6962,24.85
1657,121.01,98.65,21.36,0.001600,3.6799,-0.6819,22.17
1658,122.56,99.91,19.39,0.001600,3.6475,-0.6676,19.75
1659,122.89,100.18,18.01,0.001400,3.6744,-0.6532,18.05
1662,122.76,100.08,18.02,0.001500,3.7553,-0.6318,18.06
1663,122.83,100.13,17.99,0.001400,3.7822,-0.6282,18.03
1664,123.28,100.50,17.74,0.001500,3.8091,-0.6247,17.72
1665,123.76,100.89,17.25,0.001400,3.8361,-0.6211,17.12
1666,124.48,101.48,17.61,0.001300,3.863,-0.6176,17.56
1669,124.56,101.54,17.55,0.001500,3.9439,-0.6189,17.49
1670,124.67,101.63,17.61,0.001500,3.9708,-0.6213,17.56
1671,124.10,101.17,17.94,0.001400,3.9977,-0.6237,17.97
1672,124.82,101.76,17.39,0.001300,4.0393,-0.6261,17.29
1673,124.30,101.87,16.11,0.001100,4.0808,-0.6285,15.72
1676,124.60,102.11,16.41,0.001400,4.2054,-0.636,16.08
1677,125.39,102.76,16.49,0.001400,4.247,-0.6385,16.18
1678,125.78,103.08,15.45,0.001400,4.2885,-0.641,14.90
1679,125.60,102.93,16.47,0.001400,4.1801,-0.6435,16.16
1683,125.65,102.97,17.67,0.001700,4.1034,-0.6407,17.63
1684,125.83,103.12,17.52,0.001500,4.114,-0.6389,17.45
1685,125.92,103.19,17.28,0.001300,4.1246,-0.6371,17.15
1686,125.72,103.03,17.52,0.001200,4.1352,-0.6354,17.45
1687,125.75,103.05,17.75,0.001200,4.1458,-0.6336,17.73
1690,127.05,104.12,17.61,0.001500,4.1775,-0.6283,17.56
1691,126.98,104.06,17.38,0.001400,4.1881,-0.6265,17.28
1692,127.64,104.60,17.02,0.001400,4.2391,-0.6247,16.83
1693,127.39,104.40,17.40,0.001500,4.2901,-0.623,17.30
1694,127.14,104.19,17.14,0.001400,4.3411,-0.6241,16.98
1697,126.98,104.06,17.54,0.001500,4.3249,-0.6277,17.47
1698,127.43,104.43,16.89,0.001500,4.3328,-0.6288,16.67
1699,128.58,105.37,16.24,0.001500,4.3406,-0.63,15.88
1700,128.37,105.20,16.39,0.001500,4.3485,-0.6312,16.06
1701,129.30,105.96,15.46,0.001500,4.3563,-0.6323,14.92
1705,129.52,106.14,15.87,0.001600,4.3877,-0.6814,15.42
1706,128.25,105.10,17.31,0.001600,4.3955,-0.6814,17.19
1707,128.08,104.96,17.99,0.001600,4.4034,-0.6814,18.03
1708,128.37,105.20,18.47,0.001600,4.4112,-0.6814,18.62
1711,129.10,105.80,17.65,0.001600,4.4348,-0.6814,17.61
1712,129.17,105.86,17.59,0.001600,4.386,-0.6814,17.54
1713,129.67,106.27,16.64,0.001600,4.3755,-0.6814,16.37
1714,129.99,106.53,16.15,0.001500,4.3649,-0.6814,15.76
1715,127.72,104.67,20.04,0.001500,4.3543,-0.6814,20.55
1718,128.68,105.46,19.53,0.001500,4.3226,-0.6814,19.92
1719,130.74,107.14,17.63,0.001500,4.3121,-0.6814,17.58
1720,130.49,106.94,17.30,0.001600,4.4326,-0.6814,17.18
1721,130.78,107.18,16.69,0.001400,4.5531,-0.6814,16.43
1722,131.15,107.48,15.93,0.001500,4.6809,-0.6814,15.49
1725,131.97,108.15,16.28,0.001600,4.7532,-0.6814,15.92
1726,132.57,108.64,15.81,0.001500,4.8375,-0.6814,15.35
1727,132.27,108.40,15.87,0.001400,4.781,-0.6814,15.42
1728,132.32,108.44,16.09,0.001200,4.7246,-0.6814,15.69
1729,133.11,109.09,15.69,0.001200,4.6681,-0.6814,15.20
1732,133.43,109.35,15.95,0.001300,4.5411,-0.6814,15.52
1733,133.01,109.00,16.37,0.001300,4.4987,-0.6814,16.04
1734,133.85,109.69,16.72,0.001200,4.4564,-0.6814,16.47
1735,134.25,110.02,16.59,0.000900,4.414,-0.6814,16.31
1736,134.53,110.25,16.43,0.001000,4.3717,-0.6814,16.11
1740,131.83,108.04,20.80,0.001200,4.1516,-0.6814,21.48
1741,131.02,107.37,22.13,0.001200,4.0586,-0.6814,23.12
1742,130.93,107.30,21.32,0.001300,4.1359,-0.6814,22.12
1743,132.33,108.45,19.22,0.001300,4.1015,-0.6814,19.54
1746,133.15,109.12,18.35,0.001500,3.9983,-0.6814,18.47
1747,130.93,107.30,21.01,0.001400,3.9908,-0.6814,21.74
1748,131.21,107.53,20.70,0.001300,3.9834,-0.6814,21.36
1749,133.47,109.38,18.60,0.001300,3.9759,-0.6814,18.78
1750,132.47,108.56,19.06,0.001200,3.9685,-0.6814,19.34
1753,131.43,107.71,20.66,0.001100,3.9462,-0.6814,21.31
1754,132.58,108.65,19.82,0.001100,3.9387,-0.6814,20.28
1755,132.39,108.50,20.22,0.001000,3.9313,-0.6814,20.77
1756,129.94,106.49,21.88,0.000800,3.9238,-0.6814,22.81
1757,130.84,107.23,20.08,0.000800,3.9164,-0.6814,20.60
1760,130.05,106.58,21.13,0.000900,3.728,-0.6814,21.89
1761,128.56,105.36,24.32,0.001000,3.5545,-0.6814,25.81
1762,126.18,103.41,29.40,0.001000,3.5866,-0.6814,32.06
1763,127.85,104.77,26.37,0.000800,3.6187,-0.6814,28.34
1764,127.76,105.16,24.44,0.000700,3.6508,-0.6814,25.96
1767,129.74,106.79,20.61,0.001000,3.7575,-0.6814,21.25
1768,129.29,106.42,20.21,0.001000,3.793,-0.6814,20.76
1769,129.66,106.72,19.17,0.000900,3.8286,-0.6814,19.48
1770,130.90,107.74,18.00,0.000900,3.7954,-0.6814,18.04
1771,131.30,108.07,17.91,0.000900,3.7623,-0.6814,17.93
1774,130.98,107.81,19.44,0.001100,3.7577,-0.6814,19.81
1775,131.86,108.53,18.16,0.001000,3.7721,-0.6814,18.24
1776,132.77,109.28,17.71,0.001000,3.7864,-0.6814,17.68
1777,132.59,109.13,17.74,0.000900,3.8007,-0.6814,17.72
1778,133.15,109.59,17.40,0.000700,3.8151,-0.6814,17.30
1781,133.26,109.68,17.50,0.000600,3.8581,-0.6814,17.43
1782,133.24,109.67,17.25,0.000700,3.8724,-0.6814,17.12
1783,133.66,110.01,16.90,0.000600,3.8867,-0.6814,16.69
1784,133.32,109.73,17.11,0.000400,3.9011,-0.6814,16.95
1785,132.86,109.35,17.87,0.000400,3.9154,-0.6814,17.88
1788,132.46,109.02,16.59,0.000500,3.9584,-0.6814,16.31
1789,131.47,108.21,17.09,0.000500,3.9727,-0.6814,16.92
1790,131.46,108.20,16.92,0.000600,3.987,-0.6814,16.71
1791,131.56,108.28,16.27,0.000700,4.0014,-0.6814,15.91
1792,132.04,108.68,15.32,0.000700,4.0157,-0.6814,14.74
1795,130.56,107.46,16.96,0.000700,4.0522,-0.6814,16.76
1796,131.31,108.08,15.83,0.000600,4.06,-0.6814,15.37
1797,133.10,109.55,15.07,0.000600,4.0679,-0.6814,14.44
1798,133.78,110.11,14.69,0.000600,4.0757,-0.6814,13.97
1802,133.64,110.00,15.77,0.000700,4.1071,-0.6814,15.30
1803,134.79,110.94,15.62,0.000700,4.1149,-0.6814,15.11
1804,135.67,111.67,15.35,0.000600,4.1227,-0.6814,14.78
1805,136.11,112.03,14.62,0.000400,4.1306,-0.6814,13.88
1806,136.43,112.29,14.75,0.000400,4.1384,-0.6814,14.04
1809,136.22,112.12,15.99,0.000500,4.0293,-0.6814,15.57
1810,135.73,111.72,16.70,0.000300,3.993,-0.6814,16.44
1811,134.83,110.98,17.08,0.000300,3.9566,-0.6814,16.91
1812,133.61,109.97,18.20,0.000200,3.9202,-0.6814,18.29
1813,134.20,110.46,18.40,0.000200,3.9522,-0.6814,18.53
1816,134.72,110.88,17.16,0.000300,3.9885,-0.6814,17.01
1817,135.87,111.83,15.91,0.000300,3.9608,-0.6814,15.47
1818,134.44,110.65,16.95,0.000300,3.9331,-0.6814,16.75
1819,135.08,111.18,16.03,0.000200,3.9054,-0.6814,15.62
1820,134.04,110.32,17.07,0.000300,3.8777,-0.6814,16.90
1823,133.19,109.63,18.24,0.000400,3.7946,-0.6814,18.34
1824,133.17,109.61,17.55,0.000400,3.7669,-0.6814,17.49
1825,134.36,110.59,16.23,0.000500,3.7392,-0.6814,15.86
1826,134.68,110.85,15.52,0.000500,3.7115,-0.6814,14.99
1827,133.61,109.97,17.43,0.000500,3.6838,-0.6814,17.34
1830,132.06,108.70,18.27,0.000600,3.773,-0.6814,18.37
1831,131.95,108.60,17.82,0.000600,3.8028,-0.6814,17.82
1832,132.39,108.97,17.07,0.000600,3.8325,-0.6814,16.90
1833,133.00,109.47,16.09,0.000500,3.9303,-0.6814,15.69
1834,133.51,109.89,15.98,0.000500,3.9092,-0.6814,15.56
1838,134.90,111.03,15.45,0.000600,3.8249,-0.6814,14.90
1839,131.87,108.54,18.30,0.000500,3.8039,-0.6814,18.41
1840,131.73,108.42,18.09,0.000400,3.7828,-0.6814,18.15
1841,130.42,107.35,17.95,0.000400,3.7617,-0.6814,17.98
1844,129.04,106.21,18.49,0.000500,3.7221,-0.6814,18.64
1845,128.96,106.14,18.07,0.000500,3.7089,-0.6814,18.13
1846,128.42,105.70,18.79,0.000400,3.6956,-0.6814,19.01
1847,129.40,106.51,17.77,0.000500,3.6824,-0.6814,17.76
1848,127.60,105.02,18.86,0.000500,3.6692,-0.6814,19.10
1851,127.70,105.11,19.61,0.000500,3.6296,-0.6814,20.02
1852,129.32,106.44,18.26,0.000500,3.6164,-0.6814,18.36
1853,127.02,104.55,21.32,0.000500,3.6032,-0.6814,22.12
1854,127.30,104.78,22.73,0.000500,3.5899,-0.6814,23.86
1855,127.05,105.09,21.85,0.000400,3.5767,-0.6814,22.78
1858,127.70,105.63,19.99,0.000300,3.4857,-0.6814,20.49
1859,129.45,107.08,18.86,0.000300,3.4554,-0.6814,19.10
1860,128.67,106.43,18.52,0.000200,3.4251,-0.6814,18.68
1861,128.30,106.12,19.29,0.000100,3.4388,-0.6814,19.63
1862,126.81,104.89,21.10,0.000200,3.4526,-0.6814,21.85
1865,127.94,105.83,20.56,0.000200,3.4938,-0.6814,21.19
1866,129.61,107.21,19.17,0.000300,3.5076,-0.6814,19.48
1867,130.72,108.13,17.27,0.000200,3.5213,-0.6814,17.14
1868,131.97,109.16,16.52,0.000300,3.6861,-0.6814,16.22
1869,133.92,110.77,15.87,0.000200,3.8508,-0.6814,15.42
1873,133.81,110.68,16.06,0.000200,3.9062,-0.6814,15.65
